region,Mean,Variance,Skewness,Kurtosis
ANDHRA PRADESH,795.048,16680.184,0.779,0.542
BIHAR,1003.894,21958.664,1.588,3.221
CHHATTISGARH,1196.899,30023.823,-0.37,-1.131
MADHYA PRADESH,922.218,16136.207,0.976,0.845
MEGHALAYA,1668.413,226144.369,1.541,1.691
TAMIL NADU,740.509,59345.378,0.27,-0.245
TELANGANA,943.358,33647.354,0.509,-0.682
UTTAR PRADESH,818.823,12742.102,0.579,-0.701
UTTARAKHAND,777.53,49379.357,0.805,-0.482
