region,year,builtup_area
UTTARAKHAND_STATE.geojson,2007,585.230912
UTTARAKHAND_STATE.geojson,2008,586.999616
UTTARAKHAND_STATE.geojson,2009,598.822336
UTTARAKHAND_STATE.geojson,2010,656.320896
UTTARAKHAND_STATE.geojson,2011,659.629376
UTTARAKHAND_STATE.geojson,2012,660.783424
UTTARAKHAND_STATE.geojson,2013,660.968448
UTTARAKHAND_STATE.geojson,2014,660.968448
UTTARAKHAND_STATE.geojson,2015,661.087616
UTTARAKHAND_STATE.geojson,2016,661.818304
UTTARAKHAND_STATE.geojson,2017,659.4224
