region,year,mean_rainfall,builtup_area
NAGPUR.geojson,2009,1001.44037,330.885632
NAGPUR.geojson,2010,1349.2023,330.885632
NAGPUR.geojson,2011,1027.1007,333.181184
NAGPUR.geojson,2012,1197.8215,333.290944
NAGPUR.geojson,2013,1666.2898,333.290944
NAGPUR.geojson,2014,1021.4753,333.290944
NAGPUR.geojson,2015,1078.5795,333.337984
NAGPUR.geojson,2016,1267.727,333.344256
NAGPUR.geojson,2017,877.10077,333.021248
PIMPRI CHINCHWAD.geojson,2005,6312.098,551.456192
PIMPRI CHINCHWAD.geojson,2006,2762.175,562.560768
PIMPRI CHINCHWAD.geojson,2007,2017.4486,563.269504
PIMPRI CHINCHWAD.geojson,2008,1588.3834,564.592896
PIMPRI CHINCHWAD.geojson,2009,1980.062,565.75008
PIMPRI CHINCHWAD.geojson,2010,1687.0468,565.79712
PIMPRI CHINCHWAD.geojson,2011,1483.4948,567.547008
PIMPRI CHINCHWAD.geojson,2012,1043.4291,568.613248
PIMPRI CHINCHWAD.geojson,2013,1257.7716,568.613248
PIMPRI CHINCHWAD.geojson,2014,987.2272,569.312576
PIMPRI CHINCHWAD.geojson,2015,703.4019,569.32512
PIMPRI CHINCHWAD.geojson,2016,1051.5237,587.306944
PIMPRI CHINCHWAD.geojson,2017,978.8145,587.501376
PUNE.geojson,2005,6545.599,551.148864
PUNE.geojson,2006,2415.251,562.265984
PUNE.geojson,2007,1869.701,562.9904
PUNE.geojson,2008,1486.8607,564.304384
PUNE.geojson,2009,1946.4305,565.470976
PUNE.geojson,2010,1654.4517,565.518016
PUNE.geojson,2011,1463.1757,567.233408
PUNE.geojson,2012,1045.2628,568.302784
PUNE.geojson,2013,1252.0659,568.302784
PUNE.geojson,2014,989.98944,569.002112
PUNE.geojson,2015,707.0432,568.945664
PUNE.geojson,2016,1047.5437,592.763584
PUNE.geojson,2017,986.2778,593.3312
